VariableName,VarUnits,SampleMedium,DataType,ValueType,TimeSupport,TimeUnits,Speciation,SiteName,SiteCode,Latitude,Longitude,GeneralCategory,NoDataValue
Precipitation,millimeter,Precipitation,Incremental,Field Observation,1,day,Not Applicable,"IOWA CITY MUNI AP             ",GHCN:USW00014937,41.6328,-91.5431,Climate,-9999
UTCTimeStamp,LocalTimestamp,UTCOffset,Value,MethodDescription,QualityControlLevel,ValueAccuracy,CensorCode,OffsetValue,OffsetDescription,OffsetUnit,Qualifier,QualifierDescription,SourceDescription,SourceLink,Citation
1948-01-01 00:00:00,1948-01-01 00:00:00,0,-9999,No method specified,Quality controlled data,0,nc,0,,,____,unknown,unknown,unknown,unknown
1948-01-02 00:00:00,1948-01-02 00:00:00,0,-9999,No method specified,Quality controlled data,0,nc,0,,,____,unknown,unknown,unknown,unknown
1948-01-03 00:00:00,1948-01-03 00:00:00,0,0.5,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-01-04 00:00:00,1948-01-04 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_X1,unknown,unknown,unknown,unknown
1948-01-05 00:00:00,1948-01-05 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-01-06 00:00:00,1948-01-06 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-01-07 00:00:00,1948-01-07 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-01-08 00:00:00,1948-01-08 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-01-09 00:00:00,1948-01-09 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-01-10 00:00:00,1948-01-10 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-01-11 00:00:00,1948-01-11 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_X1,unknown,unknown,unknown,unknown
1948-01-12 00:00:00,1948-01-12 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_X1,unknown,unknown,unknown,unknown
1948-01-13 00:00:00,1948-01-13 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_X1,unknown,unknown,unknown,unknown
1948-01-14 00:00:00,1948-01-14 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_X1,unknown,unknown,unknown,unknown
1948-01-15 00:00:00,1948-01-15 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_X1,unknown,unknown,unknown,unknown
1948-01-16 00:00:00,1948-01-16 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-01-17 00:00:00,1948-01-17 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-01-18 00:00:00,1948-01-18 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_X1,unknown,unknown,unknown,unknown
1948-01-19 00:00:00,1948-01-19 00:00:00,0,0.3,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-01-20 00:00:00,1948-01-20 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_X1,unknown,unknown,unknown,unknown
1948-01-21 00:00:00,1948-01-21 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_X1,unknown,unknown,unknown,unknown
1948-01-22 00:00:00,1948-01-22 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-01-23 00:00:00,1948-01-23 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-01-24 00:00:00,1948-01-24 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-01-25 00:00:00,1948-01-25 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_X1,unknown,unknown,unknown,unknown
1948-01-26 00:00:00,1948-01-26 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-01-27 00:00:00,1948-01-27 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-01-28 00:00:00,1948-01-28 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
